,$n$,$c$,$\nu_8$,$\nu_2$,$f$,$\epsilon$,$\frac{k_{diss}}{k_f}$,$F_f$,$Ro_f$,$Re$,$ReF_f^{2/3}$,$Bu$,$\frac{<\bf \Omega_0 >}{{(P k_f^2)}^{2/3}}$,$E$,$t_{stat}$,$t_{\max}$,short name
WL1,960.0,10.0,0.0,0.09846836601321894,0.0,0.9975261574396386,22.63536968418067,0.160782095156062,inf,68.0345804045999,20.116611703103935,inf,1.0,2.039248586841747,3.437500000000029,25,noise_c10nh960Buinf
WL2,1920.0,10.0,0.0,0.04923418300660947,0.0,0.9854983756242983,45.27073936836134,0.1601332643865987,inf,135.52005826004861,39.962987855153635,inf,1.0,2.2555472753264683,3.542873846238739,25,noise_c10nh1920Buinf
WL3,2880.0,10.0,0.0,0.03282278867107298,0.0,0.9837486696812744,67.906109052542,0.16003843855561226,inf,203.15971138148032,59.885331432465236,inf,1.0,2.352529295180973,3.7252544250957262,25,noise_c10nh2880Buinf
WL4,3840.0,10.0,0.0,0.024617091503304735,0.0,0.993151705321767,90.54147873672268,0.1605467248207384,inf,271.7399359153674,80.27021672030271,inf,1.0,2.481549449332125,4.012737803680364,25,noise_c10nh3840Buinf
WL5,7680.0,10.0,0.0,0.012308545751652368,0.0,1.0025713991968204,181.08295747344536,0.16105270486171783,inf,545.1927063225469,161.3845860342626,inf,1.0,2.868348161902344,3.606028494772048,25,noise_c10nh7680Buinf
WL6,960.0,20.0,0.0,0.09846836601321894,0.0,0.9941782928496438,22.63536968418067,0.08030101151121462,inf,67.95838328798455,12.649024948672086,inf,1.0,2.1895551684356866,3.757812499999922,25,noise_c20nh960Buinf
WL7,2880.0,20.0,0.0,0.03282278867107298,0.0,0.9817590281254114,67.906109052542,0.07996523630975343,inf,203.02265475548367,37.682986872623,inf,1.0,2.765743785853839,4.430555555555052,25,noise_c20nh2880Buinf
WL8,960.0,40.0,0.0,0.09846836601321894,0.0,0.9846106363530543,22.63536968418067,0.04002129178342595,inf,67.73967688609974,7.9256919601180655,inf,1.0,2.4994475364685047,4.010416666666845,25,noise_c40nh960Buinf
WL9,2880.0,40.0,0.0,0.03282278867107298,0.0,0.9805848103320645,67.906109052542,0.03996667159703912,inf,202.9416817563204,23.723016430472455,inf,1.0,3.400158810503606,5.313802083332377,25,noise_c40nh2880Buinf
WL10,960.0,100.0,0.0,0.09846836601321894,0.0,0.9756851009783681,22.63536968418067,0.015959997188315252,inf,67.53436761174603,4.281014621890619,inf,1.0,3.2399991460107453,4.818750000000464,25,noise_c100nh960Buinf
WL11,2880.0,100.0,0.0,0.03282278867107298,0.0,0.9606499901423723,67.906109052542,0.01587759233307244,inf,201.55701998422697,12.732715247191502,inf,1.0,4.791502726510399,7.102083333337027,25,noise_c100nh2880Buinf
WL12,960.0,200.0,0.0,0.09846836601321894,0.0,0.9878008427980023,22.63536968418067,0.008012893820135467,inf,67.81275842317868,2.715424106276903,inf,1.0,4.014214808062503,6.010156249999669,25,noise_c200nh960Buinf
WL13,2880.0,200.0,0.0,0.03282278867107298,0.0,0.9277955354521685,67.906109052542,0.007847241468612449,inf,199.2325501663902,7.867528140654062,inf,1.0,6.268109942844935,8.903993055545822,25,noise_c200nh2880Buinf
